Название вакансии,Компания,Зарплата,Ссылка на вакансию
"C# разработчик, senior/lead",Контур,"до 400 000 ₽ за месяц, до вычета налогов
Опыт более 6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/118654794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Game Developer (iGaming),Siberteam,"до 60 000 ₽ за месяц, на руки
Без опыта",https://tomsk.hh.ru/vacancy/124798856?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Элекард,"до 150 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/124756156?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1 категории,ИСЭ СО РАН,"30 000 ₽ за месяц, на руки
Без опыта",https://tomsk.hh.ru/vacancy/125746732?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Backend Web Developer/разработчик в офис, г. Томск",ООО СистемоСинтез,"70 000 – 90 000 ₽ за месяц, на руки
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125364636?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Middle Backend Developer (Node.JS)/разработчик в офис, г. Томск",ООО СистемоСинтез,"100 000 – 150 000 ₽ за месяц, на руки
Опыт 3-6 лет
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/126046575?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший технический писатель / Junior technical writer,"СТЕЛС, НПП",Без опыта,https://tomsk.hh.ru/vacancy/125988254?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Центр Семейной Медицины,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/124702314?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python developer (CAD),Sibedge,"Опыт 3-6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/126008885?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,"до 200 000 ₽ за месяц, на руки
Опыт 3-6 лет",https://tomsk.hh.ru/vacancy/125084033?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,ООО Сибтехнологии,"от 50 000 ₽ за месяц, на руки
Без опыта
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125442255?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),Userstory,"от 150 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/125976204?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (научное подразделение),АО Научно-исследовательский институт полупроводниковых приборов,"60 000 – 100 000 ₽ за месяц, на руки
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125744446?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++/Qt,Алабуга. Проектный менеджмент,"от 277 500 ₽ за месяц, до вычета налогов
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125880931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
