Номер,Название,Цена
1,В шаге от метро!,225 000 ₽/мес.
2,Терраса с видом на воду!,490 000 ₽/мес.
3,Стильные Апартаменты!,230 000 ₽/мес.
4,Цивилизованная аренда от ДОМ РФ,140 900 ₽/мес.
5,Интересное предложение,230 000 ₽/мес.
6,"2-комн. апартаменты, 64 м², 45/79 этаж",225 000 ₽/мес.
7,"2-комн. ап., 82м², 36/79этаж",235 000 ₽/мес.
8,"2-комн. апартаменты, 80 м², 68/78 этаж",290 000 ₽/мес.
9,"2-комн. апартаменты, 88 м², 75/95 этаж",265 000 ₽/мес.
10,Заселение с 15 сентября,109 900 ₽/мес.
11,"1-комн. апартаменты, 47 м², 13/15 этаж",109 900 ₽/мес.
12,Апартамент с мастер-спальней!,330 000 ₽/мес.
13,Таунхаус! Личный Вход с улицы!,310 000 ₽/мес.
14,Интересное предложение,330 000 ₽/мес.
15,Быстрое заселение,111 900 ₽/мес.
16,Дизайнерский ремонт,330 000 ₽/мес.
17,Уникальное Предложение! Спешите!,40 000 ₽/мес.
18,Новая квартира в современном ЖК,120 000 ₽/мес.
19,"2-комн. апартаменты, 58 м², 3/15 этаж",129 900 ₽/мес.
20,"2-комн. апартаменты, 79 м², 3/4 этаж",290 000 ₽/мес.
21,Срочно Со Скидкой! Шикарная Сити,109 000 ₽/мес.
22,"2-комн. квартира, 63 м², 8/9 этаж",150 000 ₽/мес.
23,Цивилизованная аренда от ДОМ РФ,92 990 ₽/мес.
24,Цивилизованная аренда от ДОМ РФ,89 990 ₽/мес.
25,Стильная квартира у пруда!,400 000 ₽/мес.
26,Cдается впервые после ремонта,170 000 ₽/мес.
27,Двухуровневый лофт! Новый ремонт!,390 000 ₽/мес.
28,"2-комн. квартира, 95 м², 4/6 этаж",400 000 ₽/мес.
